"","Chicago","Houston","NewYork","SanFrancisco"
"AvgHigh_C","Jan","Jan","Jan","Jan"
"AvgLow_C","Jan","Jan","Jan","Jan"
"AvgPrecip_mm","Feb","Feb","Feb","Jul"
"DaysWithPrecip","Feb","Apr","Sep","Jul"
"HoursOfSunshine","Dec","Jan","Jan","Dec"
