"","Chicago","Houston","NewYork","SanFrancisco"
"AvgHigh_C","Jul","Aug","Jul","Sep"
"AvgLow_C","Jul","Jul","Jul","Aug"
"AvgPrecip_mm","May","Jun","Jul","Dec"
"DaysWithPrecip","Mar","Jun","Mar","Jan"
"HoursOfSunshine","Jul","Jul","Jul","Jun"
