"","Chicago","Houston","NewYork","SanFrancisco"
"Jan",1,1.77,2.23,0.82
"Feb",1.33,1.36,3.89,0.83
"Mar",9,1,4.21,0.8
"Apr",2,0.74,1.28,0.8
"May",0.91,0.53,0.71,0.69
"Jun",0.59,0.43,0.49,0.65
"Jul",0.45,0.44,0.4,0.57
"Aug",0.47,0.46,0.4,0.57
"Sep",0.71,0.53,0.5,0.66
"Oct",1.12,0.73,0.81,0.71
"Nov",8,1.01,1.41,0.71
"Dec",1.4,1.56,67,0.78
