"","Chicago","Houston","NewYork","SanFrancisco"
"AvgHigh_C",0,17.2,3.8,13.8
"AvgLow_C",-8,6.2,-3.1,7.6
"AvgPrecip_mm",49,81,75,0
"DaysWithPrecip",8,6,8,1
"HoursOfSunshine",106,142,154,156
